Tick,Project,Traditional,Static
37800,6469.646505165641,759221.5181997458,134198.8800575371
38000,6481.24586795998,802478.7305811071,171794.65629043942
38200,6485.919087819799,927740.1066300301,178391.12652482386
38400,5530.587961699668,917495.8529022185,173686.7276547976
38600,5538.0218719015975,869798.4379560915,166222.61006797783
38800,5530.496995888505,925346.3928011799,137138.21906698353
39000,5527.694354109772,919719.6284563396,138088.48180670175
39200,5528.9383742872305,910354.3671060681,145597.4730055537
39400,5530.441609352754,955372.3989424475,153103.41773544316
39600,5528.26368259982,922576.3544952448,139982.47861190973
39800,5528.189878181336,906656.2524380784,141865.9338739204
40000,5526.794202535864,891702.715753633,132499.88965268392
40200,5524.943366010615,860806.7548624753,124073.23430027645
40400,5524.990827945119,857063.9776038482,119394.13505933323
40600,5523.461531516616,814035.465377766,114718.29435024357
40800,5520.150226462676,828145.8114833836,100700.2512893056
41000,5520.51723821825,765562.6789262269,107254.64563276447
41200,5522.9714398392825,777738.7537527801,111017.76768516382
41400,5524.141699470754,786163.1017950882,119443.92097293383
41600,5523.608299585845,796472.4505428342,114764.96190396667
41800,5523.918911728615,739396.5023612708,122259.63086024037
42000,5526.170257630205,792786.1049415364,133498.92167863974
42200,5524.955298375338,779676.0636505536,126944.46690160673
42400,5524.338828517706,759083.0048618296,123202.63827501186
42600,5525.270419902867,763762.1300957481,126948.65788350542
42800,5526.74221007411,840591.6442104834,131630.2481724909
43000,5530.523681674706,924989.5100247518,150382.7440738805
43200,5536.921931236502,1039613.2236833556,179507.63354295515
43400,5537.961852002918,1043375.2726832846,173869.0572792397
43600,5540.926814385879,1052793.5855013547,182338.74036384444
43800,5538.763936065254,1035861.5336357413,169171.97016794703
44000,5539.299312582167,941856.112356198,180458.07946589842
44200,5536.028709608683,935321.3964009443,168246.7685201263
44400,5536.56791443126,876144.5241553254,172953.21486081247
44600,5537.263728064339,872383.7116933892,172953.14131075522
44800,5522.427190335366,928107.9806811156,177704.40133729167
45000,5517.488631668413,873900.862426212,166497.5904378064
45200,5531.732149286225,975274.763134162,181509.47616735497
45400,5531.572950849382,975274.6570018709,183386.45754684272
45600,5527.710177726418,945424.9417945308,156243.05282256828
45800,5527.584439344937,936062.2746888999,158128.64620667355
46000,5529.043872608338,936058.8147215287,172191.35712952877
46200,5528.951389230424,863014.5608998676,180629.53689279946
46400,5520.668128473408,789142.0867973618,163796.2147503903
46600,5520.556954072657,755525.3388294659,170355.67526473367
46800,5517.369555770114,736853.791039279,150740.79188396916
47000,5520.659835371727,826653.9444297686,160091.8931829895
47200,5521.706291426759,828527.390191766,166638.1174773952
47400,5520.780383211968,796739.9689189679,157291.38365591672
47600,5519.308828500754,764035.2909273142,155419.8713282542
47800,5519.0855080956535,770587.9998533697,143272.48276689032
48000,5522.4407600126,820211.2802992591,165747.47906631557
48200,5526.806559044591,889573.8164235534,175125.5326141595
48400,5525.840291067361,877395.5412520892,167636.18546257
48600,5527.645311565764,927070.0703251297,170449.28107230726
48800,5529.017914100405,958954.0593739466,178892.89888341085
49000,5529.349320234614,967393.1625025633,179831.14401372668
49200,5528.4397667288285,967391.9497645557,177954.23304163787
49400,5527.012556461792,901840.760051005,174204.55548056087
49600,5542.286720649674,936162.5259107865,187443.89320383512
49800,5530.733261733592,933335.878360463,190249.44990521643
50000,5530.212632323688,895818.4526791642,188376.96210044945
